ds,yhat,yhat_lower,yhat_upper,zone
2023-12-31 01:00:00,42.36135536946499,30.620045155496392,53.04517147166654,BR
2023-12-31 02:00:00,42.24446348789325,30.977858018413176,53.739437861414935,BR
2023-12-31 03:00:00,42.103935455877675,30.486733154397253,53.46001395775469,BR
2023-12-31 04:00:00,41.94100134756385,30.071984106212497,53.05788554927255,BR
2023-12-31 05:00:00,41.757085478523805,29.684102810612682,52.62836939320058,BR
2023-12-31 06:00:00,41.553791255161855,30.293155921833325,52.60431237246792,BR
2023-12-31 07:00:00,41.33288411550046,29.757913157330325,52.701106083578246,BR
2023-12-31 08:00:00,41.09627276002407,30.37366282920598,51.952973518334396,BR
2023-12-31 09:00:00,40.84598889114234,29.002532148591616,51.52494737798391,BR
2023-12-31 10:00:00,40.5841656971869,29.425068704808247,52.01145282014381,BR
2023-12-31 11:00:00,40.31301533090456,28.995998896478905,51.71450929210196,BR
2023-12-31 12:00:00,40.03480564365432,28.788325637744432,51.430601270980084,BR
2023-12-31 13:00:00,39.75183644554042,28.047743598740084,51.90285160857175,BR
2023-12-31 14:00:00,39.466415565200315,28.669059924347795,51.88512379780121,BR
2023-12-31 15:00:00,39.18083498550049,28.315597207406196,50.86343965815335,BR
2023-12-31 16:00:00,38.897347329950996,28.050196333074066,49.66788540764479,BR
2023-12-31 17:00:00,38.61814296791411,27.427723533909845,50.0318560378094,BR
2023-12-31 18:00:00,38.345328000480514,26.577801686923785,49.85537095401051,BR
2023-12-31 19:00:00,38.08090337565624,26.431958753281183,49.89343073479346,BR
2023-12-31 20:00:00,37.82674536844138,26.071924633501297,49.445245084924316,BR
2023-12-31 21:00:00,37.58458764285068,25.803426378385456,48.696471602393075,BR
2023-12-31 22:00:00,37.35600509427357,27.05147532393967,49.10912106724869,BR
2023-12-31 23:00:00,37.142399647440826,25.254173955623735,48.43336197135649,BR
2024-01-01 00:00:00,36.944988161864735,24.848596083902223,47.871381064907666,BR
ds,yhat,yhat_lower,yhat_upper,zone
2023-12-31 01:00:00,336.9118924491372,309.66811717986604,364.2738513652494,US
2023-12-31 02:00:00,337.0014851640713,309.4764228812039,363.65509103756216,US
2023-12-31 03:00:00,337.119237460014,311.21352942957924,364.39233188933633,US
2023-12-31 04:00:00,337.26442669507827,311.9831669363214,365.99851796373656,US
2023-12-31 05:00:00,337.43607671320643,309.9652535002366,363.24358721591506,US
2023-12-31 06:00:00,337.63296698790396,310.35851055274367,363.38920799377314,US
2023-12-31 07:00:00,337.8536445419221,310.1639821933839,365.45817662984393,US
2023-12-31 08:00:00,338.0964385074967,311.5087501469841,363.9175825132318,US
2023-12-31 09:00:00,338.35947715968416,312.1774062441965,364.3964813209861,US
2023-12-31 10:00:00,338.64070722534495,310.7175678611513,365.87933542130025,US
2023-12-31 11:00:00,338.93791524318766,310.70546391029956,364.6873701364915,US
2023-12-31 12:00:00,339.2487507255744,311.50321655922545,365.0675637599806,US
2023-12-31 13:00:00,339.57075085025457,312.5758250350125,366.58003497777526,US
2023-12-31 14:00:00,339.90136639315864,313.04452084721004,365.78794391684403,US
2023-12-31 15:00:00,340.2379885976284,313.23796108060526,366.4780849998266,US
2023-12-31 16:00:00,340.57797666379383,312.6634718524221,366.10842206181354,US
2023-12-31 17:00:00,340.9186855365013,313.51564110846806,365.9414570546901,US
2023-12-31 18:00:00,341.2574936643453,316.4936153914232,370.02392510905196,US
2023-12-31 19:00:00,341.59183040513796,312.03592863856187,368.1875173747529,US
2023-12-31 20:00:00,341.91920275599466,314.81500259247065,370.57133937626634,US
2023-12-31 21:00:00,342.23722109643666,315.4423729905908,368.5820036182927,US
2023-12-31 22:00:00,342.54362364368444,315.0981029286272,368.98420068650114,US
2023-12-31 23:00:00,342.83629933652657,317.33009006981143,368.17805421391455,US
2024-01-01 00:00:00,343.11330888257135,316.92228137350156,371.3474610287558,US
